Sp8	Pax6	+
Emx2	Pax6	-
Coup	Pax6	-
Fgf8	Sp8	+
Emx2	Sp8	-
Coup	Emx2	+
Fgf8	Emx2	-
Pax6	Emx2	-
Sp8	Emx2	-
Fgf8	Coup	-
Sp8	Coup	-
Fgf8	Fgf8	+
Sp8	Fgf8	+
Emx2	Fgf8	-
